price_date,ticker,price,price_std
2013-03-07,A,43.25,0.7127
2013-03-28,A,41.97,0.6783
2013-06-07,A,45.15,0.6142
2013-06-13,A,44.49,0.7236
2013-06-21,A,42.98,0.8551
2013-07-05,A,44.23,0.8018
2013-07-11,A,45.72,1.0988
2013-07-12,A,45.75,1.2258
2013-08-13,A,46.92,0.6379
2013-08-15,A,46.96,0.6728
2013-08-27,A,46.97,0.5821
2013-09-16,A,48.74,0.8293
2013-09-27,A,51.63,1.55
2013-09-30,A,51.25,1.4893
2013-10-04,A,51.78,0.9844
2013-11-26,A,53.65,1.6343
2013-11-29,A,53.57,1.3734
2013-12-10,A,55.34,0.7299
2013-12-20,A,56.96,1.4482
2014-01-07,A,57.45,0.4647
2014-01-14,A,59.88,1.0277
2014-01-15,A,60.34,1.2291
2014-02-07,A,59.42,1.3244
2014-03-11,A,56.86,0.7652
2014-03-17,A,55.8,1.0142
2014-03-19,A,56.63,1.0054
2014-04-16,A,53.68,1.3934
2014-04-21,A,54.69,1.3529
2014-04-24,A,55.28,0.9777
2014-05-22,A,55.54,0.6798
2014-06-06,A,59.01,1.3416
2014-06-17,A,58.87,0.8726
2014-06-25,A,57.97,0.4826
2014-08-08,A,55.24,0.8013
2014-08-19,A,58.56,1.324
2014-09-04,A,57.69,0.4502
2014-10-02,A,55.83,0.8857
2014-10-10,A,53.64,1.1049
2014-10-16,A,51.71,2.0894
2014-10-28,A,54.66,1.1058
2014-12-09,A,41.4,0.601
2014-12-12,A,39.72,0.9438
2014-12-19,A,41.38,1.2852
2015-01-06,A,39.18,0.9934
2015-01-09,A,40.59,0.7764
2015-01-21,A,38.16,1.0797
2015-01-23,A,38.81,0.9479
2015-01-29,A,38.46,0.838
2015-03-10,A,40.63,0.5316
2015-05-08,A,42.5,0.4691
2015-05-22,A,42.5,0.3849
2015-06-09,A,40.12,0.9463
2015-06-19,A,39.49,0.5366
2015-07-15,A,40.13,0.5988
2015-07-17,A,39.95,0.6197
2015-08-05,A,40.72,0.5439
2015-10-06,A,34.9,0.8472
2015-10-14,A,35.05,0.9177
2015-10-22,A,36.09,0.44
2015-11-19,A,38.5,0.6268
2015-11-20,A,39.28,0.6942
2015-12-15,A,40.81,0.5679
2015-12-30,A,42.17,0.7585
2016-01-06,A,40.73,0.7076
2016-01-14,A,37.61,1.9351
2016-02-08,A,34.8,0.8485
2016-03-22,A,39.88,0.6898
2016-03-28,A,39.52,0.705
2016-03-29,A,40.16,0.698
2016-06-02,A,45.9,1.052
2016-06-28,A,43.11,1.2352
2016-08-03,A,47.09,0.5178
2016-09-26,A,46.57,0.8634
2016-09-29,A,46.41,0.8129
2016-10-27,A,43.38,1.1778
2016-11-22,A,44.46,0.891
2016-12-01,A,43.21,0.9267
2017-01-31,A,48.97,0.5956
2017-03-06,A,51.25,0.4294
2017-03-07,A,51.21,0.3186
2017-03-08,A,51.41,0.3168
2017-03-17,A,53.31,0.8822
2017-03-20,A,53.15,0.8932
2017-05-08,A,56.32,1.2641
2017-05-18,A,55.85,0.388
2017-06-01,A,60.73,1.9151
2017-07-11,A,59.8,0.4722
2017-07-12,A,60.73,0.5708
2017-07-14,A,61.52,0.8365
2017-07-19,A,61.38,0.9952
2017-08-16,A,62.14,0.8192
2017-08-22,A,62.96,1.2148
2017-08-29,A,63.49,1.6907
2017-08-30,A,63.9,1.5736
2017-09-14,A,65.68,1.0002
2017-09-21,A,65.92,0.6817
2017-10-17,A,66.12,1.0669
2017-10-30,A,67.49,0.508
2018-01-11,A,70.8,1.6366
2018-01-22,A,73.48,1.6518
2013-03-07,AAL,14.82,0.5609
2013-03-28,AAL,16.97,0.6024
2013-06-07,AAL,17.02,0.5382
2013-06-13,AAL,17.01,0.4983
